"","AMZN","JPM","DIS","GOOG","KO"
"1005",760.590027,82.72538,101.92437,789.909973,38.901161
"1006",771.400024,82.801407,101.943748,791.549988,38.910515
"1007",772.130005,82.202698,101.100441,785.049988,38.704784
"1008",765.150024,81.622993,101.352463,782.789978,38.901161
"1009",749.869995,82.00312,101.022896,771.820007,38.770248
"1010",753.669983,82.896439,102.825844,786.140015,39.088184
"1011",757.179993,83.049332,104.144119,786.900024,38.947922
"1012",780.450012,82.284859,104.085953,794.02002,39.041431
"1013",795.98999,82.294426,105.636887,806.150024,39.032078
"1014",796.919983,82.351746,105.035889,806.650024,38.639324
"1015",795.900024,82.590645,105.055283,804.789978,38.377495
"1016",799.02002,83.211769,106.082764,807.909973,38.386845
"1017",813.640015,82.409088,104.231361,806.359985,38.293331
"1018",817.140015,82.848648,104.745094,807.880005,38.227875
"1019",809.719971,79.838577,104.657867,804.609985,38.545822
"1020",807.47998,80.211266,104.842033,806.070007,38.611275
"1021",809.039978,79.599686,103.989021,802.174988,38.471008
"1022",808.330017,79.953247,104.357368,805.02002,38.639324
"1023",817.880005,79.99147,103.833939,819.309998,38.742199
"1024",822.440002,80.956612,104.590004,823.869995,39.181702
"1025",836.52002,82.208412,104.725708,835.669983,39.387428
"1026",839.150024,82.896439,104.745094,832.150024,39.097538
"1027",835.77002,83.068436,105.947067,823.309998,38.760895
"1028",830.380005,82.208412,107.536743,802.320007,38.695442
"1029",823.47998,80.870598,107.255653,796.789978,38.873108
"1030",832.349976,81.176392,107.885712,795.695007,38.583218
"1031",839.950012,80.832367,107.216873,798.530029,38.714142
"1032",810.200012,83.307335,106.916389,801.48999,38.845058
"1033",807.640015,82.915535,106.208778,801.340027,38.86375
"1034",812.5,82.86776,105.65625,806.969971,39.181702
"1035",819.710022,82.141525,105.65625,808.380005,39.293911
"1036",821.359985,83.326439,106.131226,809.559998,38.573868
"1037",827.460022,83.135323,105.908287,813.669983,37.947342
"1038",836.530029,84.234245,106.286324,819.23999,37.984745
"1039",836.390015,85.581604,106.945465,820.450012,37.900578
